measure_time,block_height
2024-01-17 15:57:51.19160,30
2024-01-17 15:57:55.23363,30
2024-01-17 15:57:59.40827,30
2024-01-17 15:58:03.46222,30
2024-01-17 15:58:07.50441,30
2024-01-17 15:58:11.54344,30
2024-01-17 15:58:15.99761,30
2024-01-17 15:58:20.03593,30
2024-01-17 15:58:24.07293,30
2024-01-17 15:58:28.11247,30
2024-01-17 15:58:32.15851,30
2024-01-17 15:58:36.19424,30
2024-01-17 15:58:40.23747,30
2024-01-17 15:58:44.27448,30
2024-01-17 15:58:48.31372,30
2024-01-17 15:58:52.34467,30
2024-01-17 15:58:56.38789,30
2024-01-17 15:59:00.43597,30
2024-01-17 15:59:04.48431,30
2024-01-17 15:59:08.53230,30
2024-01-17 15:59:12.57388,30
2024-01-17 15:59:16.61094,30
2024-01-17 15:59:20.64396,30
2024-01-17 15:59:24.66946,30
2024-01-17 15:59:28.69557,30
2024-01-17 15:59:32.73285,30
2024-01-17 15:59:36.76387,30
2024-01-17 15:59:40.79237,30
2024-01-17 15:59:44.82025,30
2024-01-17 15:59:48.85105,30
2024-01-17 15:59:52.88435,30
2024-01-17 15:59:56.91950,30
2024-01-17 16:00:00.94635,30
2024-01-17 16:00:04.97492,30
2024-01-17 16:00:08.99703,30
2024-01-17 16:00:13.02731,30
2024-01-17 16:00:17.05668,30
2024-01-17 16:00:21.08398,30
2024-01-17 16:00:25.12158,30
2024-01-17 16:00:29.15583,30
2024-01-17 16:00:33.19437,30
2024-01-17 16:00:37.23085,30
2024-01-17 16:00:41.28213,30
2024-01-17 16:00:45.30640,30
2024-01-17 16:00:49.33882,30
2024-01-17 16:00:53.36095,30
2024-01-17 16:00:57.39495,30
2024-01-17 16:01:01.43785,30
2024-01-17 16:01:05.47830,30
2024-01-17 16:01:09.51637,30
2024-01-17 16:01:13.54952,30
2024-01-17 16:01:17.59215,30
2024-01-17 16:01:21.62911,30
2024-01-17 16:01:25.66119,30
2024-01-17 16:01:29.70010,30
2024-01-17 16:01:33.73073,30
2024-01-17 16:01:37.77521,30
2024-01-17 16:01:41.80779,30
2024-01-17 16:01:45.85891,30
2024-01-17 16:01:49.90639,30
2024-01-17 16:01:53.94618,30
2024-01-17 16:01:58.09817,30
2024-01-17 16:02:02.13402,30
2024-01-17 16:02:06.22504,30
2024-01-17 16:02:10.25989,30
2024-01-17 16:02:14.29929,30
2024-01-17 16:02:18.35959,30
2024-01-17 16:02:22.41390,30
2024-01-17 16:02:26.45861,30
2024-01-17 16:02:30.49244,30
2024-01-17 16:02:34.75141,30
2024-01-17 16:02:38.80301,30
2024-01-17 16:02:42.84967,30
2024-01-17 16:02:46.88507,30
2024-01-17 16:02:50.93237,30
2024-01-17 16:02:55.00242,30
2024-01-17 16:02:59.04262,30
2024-01-17 16:03:03.35036,30
2024-01-17 16:03:07.38662,30
2024-01-17 16:03:11.41905,30
2024-01-17 16:03:15.76263,30
2024-01-17 16:03:19.79635,30
2024-01-17 16:03:23.83417,30
2024-01-17 16:03:27.87737,30
2024-01-17 16:03:31.91376,30
2024-01-17 16:03:35.95943,30
2024-01-17 16:03:40.00662,30
